,names,genres,releaseDates,playenv_strs,ratingScores,ratingAmts,newPosts,community_Links,rating_Links
3764,브레스 오브 파이어 4,장르: RPG,"일정: 출시 (2000.04.27), 출시 (2003.09.10), 출시 (2011.09.07)",PS2 PC/ON PSN,0,0,0,http://bbs.ruliweb.com/game/3524,http://bbs.ruliweb.com/game/3524/review
3765,1on1,장르: 스포츠,일정: 출시 (1999.10.01),PS2 ETC,0,0,0,http://bbs.ruliweb.com/game/3525,http://bbs.ruliweb.com/game/3525/review
3766,GTO,장르: 어드벤처,일정: 출시 (1999.11.30),ETC,0,0,0,http://bbs.ruliweb.com/game/3526,http://bbs.ruliweb.com/game/3526/review
3767,배리어블 지오 (V.G),장르: 액션,일정: 출시 (1996.03.19),PS2,0,0,0,http://bbs.ruliweb.com/game/3527,http://bbs.ruliweb.com/game/3527/review
3768,철권 태그토너먼트,"장르: 격투, 액션","일정: 출시 (2002.02.22), 출시 (1999.06.30)",ETC ETC,10,2,0,http://bbs.ruliweb.com/game/3528,http://bbs.ruliweb.com/game/3528/review
3769,드럼매니아,"장르: 리듬, 액션",일정: 출시 (2001.01.01),ETC,0,0,0,http://bbs.ruliweb.com/game/3530,http://bbs.ruliweb.com/game/3530/review
3770,별의 커비 64,장르: 액션,일정: 출시 (2000.03.24),ETC,0,0,0,http://bbs.ruliweb.com/game/3531,http://bbs.ruliweb.com/game/3531/review
3771,퀘스트 포 페임,"장르: 리듬, 액션",일정: 출시 (2003.01.01),PS2 ETC,0,0,0,http://bbs.ruliweb.com/game/3532,http://bbs.ruliweb.com/game/3532/review
3772,이터널 링,장르: RPG,일정: 출시 (2000.03.04),ETC,0,0,0,http://bbs.ruliweb.com/game/3534,http://bbs.ruliweb.com/game/3534/review
3773,와이프 아웃 3,장르: 레이싱,일정: 출시 (2000.02.03),PS2,0,0,0,http://bbs.ruliweb.com/game/3535,http://bbs.ruliweb.com/game/3535/review
